2020-02-19 13:15:55 [INFO] - [127.0.0.1 GET /js/scrollup/jquery.scrollUp.js 304 31ms][http://localhost/dynamics.html HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:55 [INFO] - [127.0.0.1 GET /js/custom.js 304 24ms][http://localhost/dynamics.html HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:55 [INFO] - [127.0.0.1 GET /dynamics_detail.html?course_id=0 200 148ms][http://localhost/dynamics.html HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:55 [INFO] - [127.0.0.1 GET /fonts/icomoon/icomoon.ttf?xgck0o 304 3ms][http://localhost/fonts/icomoon/icomoon.css HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:55 [INFO] - [127.0.0.1 GET /css/bootstrap.min.css 304 4ms][http://localhost/dynamics_detail.html?course_id=0 HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:55 [INFO] - [127.0.0.1 GET /css/main.css 304 4ms][http://localhost/dynamics_detail.html?course_id=0 HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:55 [INFO] - [127.0.0.1 GET /fonts/font-awesome.css 304 5ms][http://localhost/dynamics_detail.html?course_id=0 HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:55 [INFO] - [127.0.0.1 GET /fonts/icomoon/icomoon.css 304 5ms][http://localhost/dynamics_detail.html?course_id=0 HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:55 [INFO] - [127.0.0.1 GET /js/jquery.js 304 4ms][http://localhost/dynamics_detail.html?course_id=0 HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:55 [INFO] - [127.0.0.1 GET /js/bootstrap.min.js 304 5ms][http://localhost/dynamics_detail.html?course_id=0 HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:55 [INFO] - [127.0.0.1 GET /js/scrollup/jquery.scrollUp.js 304 6ms][http://localhost/dynamics_detail.html?course_id=0 HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:55 [INFO] - [127.0.0.1 GET /js/custom.js 304 8ms][http://localhost/dynamics_detail.html?course_id=0 HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:55 [INFO] - [127.0.0.1 GET /css/treetable/jquery.treetable.theme.default.css 304 20ms][http://localhost/dynamics_detail.html?course_id=0 HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:55 [INFO] - [127.0.0.1 GET /css/treetable/jquery.treetable.css 304 23ms][http://localhost/dynamics_detail.html?course_id=0 HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:55 [INFO] - [127.0.0.1 GET /js/jcanvas.min.js 304 34ms][http://localhost/dynamics_detail.html?course_id=0 HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:55 [INFO] - [127.0.0.1 GET /js/jquery.treetable.js 304 39ms][http://localhost/dynamics_detail.html?course_id=0 HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:55 [INFO] - [127.0.0.1 GET /%E5%9C%B0%E5%9B%BE.png 304 2ms][http://localhost/dynamics_detail.html?course_id=0 HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:59 [INFO] - [127.0.0.1 GET /controlbox.html 200 128ms][http://localhost/dynamics.html HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:59 [INFO] - [127.0.0.1 GET /css/bootstrap.min.css 304 2ms][http://localhost/controlbox.html HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:59 [INFO] - [127.0.0.1 GET /css/main.css 304 4ms][http://localhost/controlbox.html HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:59 [INFO] - [127.0.0.1 GET /fonts/font-awesome.css 304 5ms][http://localhost/controlbox.html HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:59 [INFO] - [127.0.0.1 GET /fonts/icomoon/icomoon.css 304 6ms][http://localhost/controlbox.html HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:59 [INFO] - [127.0.0.1 GET /css/alertify/core.css 304 3ms][http://localhost/controlbox.html HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:59 [INFO] - [127.0.0.1 GET /css/alertify/default.css 304 1ms][http://localhost/controlbox.html HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:59 [INFO] - [127.0.0.1 GET /js/jquery.js 304 2ms][http://localhost/controlbox.html HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:59 [INFO] - [127.0.0.1 GET /css/datatables/dataTables.bs.min.css 200 35ms][http://localhost/controlbox.html HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:59 [INFO] - [127.0.0.1 GET /css/icheck/custom.css 200 38ms][http://localhost/controlbox.html HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:59 [INFO] - [127.0.0.1 GET /css/icheck/skins/all.css 200 30ms][http://localhost/controlbox.html HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:59 [INFO] - [127.0.0.1 GET /js/bootstrap.min.js 304 4ms][http://localhost/controlbox.html HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
2020-02-19 13:15:59 [INFO] - [127.0.0.1 GET /js/scrollup/jquery.scrollUp.js 304 2ms][http://localhost/controlbox.html HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36]
